fileName,normalizedRatio,date,speed,iso,aperture,focalLength,widthFull,heightFull,fileSizeFull,width2k,height2k,fileSize2k,width3k,height3k,fileSize3k,width4k,height4k,fileSize4k,widthRaw,heightRaw,fileSizeRaw,place,themes,title,details
D5600_001790,standard,2019-10-17T17:11:30+08:00,1/40 s,3200,4.5,28.0,5221,3486,"3,21 Mio",1920,1282,"317,70 kio",3000,2003,"1,22 Mio",3840,2564,"1,87 Mio",6016,4016,"27,02 Mio",nationalmuseum,histoire;sculpture;temple,"Statue de Bouddha assis, en fer",
D5600_001794,autre,2019-10-17T17:13:38+08:00,1/13 s,800,4.5,35.0,5035,3739,"5,55 Mio",1920,1426,"743,84 kio",3000,2228,"2,38 Mio",3840,2852,"3,59 Mio",6016,4016,"27,87 Mio",nationalmuseum,histoire;sculpture;objet,Animaux du Zodiaque,
D5600_001800,autre,2019-10-17T17:27:01+08:00,1/50 s,3200,3.5,18.0,4750,3469,"7,36 Mio",1920,1402,"943,78 kio",3000,2191,"3,36 Mio",3840,2804,"5,14 Mio",6016,4016,"30,08 Mio",nationalmuseum,histoire;trone,Trône,
D5600_001801,standard,2019-10-17T17:32:43+08:00,1/40 s,3200,5.6,18.0,6016,4016,"8,09 Mio",1920,1282,"675,43 kio",3000,2003,"2,38 Mio",3840,2563,"3,68 Mio",6016,4016,"29,77 Mio",nationalmuseum,histoire;objet;musique,Lithophone,"C’est comme un xylophone, mais en pierre."
D5600_001804,panoramique,2019-10-17T17:34:41+08:00,1/40 s,3200,4.5,35.0,5646,1188,"3,36 Mio",1920,404,"295,05 kio",3000,631,"1,13 Mio",3840,808,"1,74 Mio",6016,4016,"30,44 Mio",nationalmuseum,histoire;objet,Mahais de un à cinq chevaux,"Contrairement à ceux du [Nouvel Angyo Onshi](https://fr.wikipedia.org/wiki/Le_Nouvel_Angyo_Onshi), ils ne confèrent pas de pouvoirs magiques mais permettent de réquisitionner autant de chevaux que dessinés."
D5600_001814,vertical,2019-10-17T18:09:00+08:00,1/80 s,800,4.5,35.0,4016,6016,"5,55 Mio",1282,1920,"448,90 kio",2003,3000,"1,60 Mio",2563,3840,"2,50 Mio",6016,4016,"27,57 Mio",nationalmuseum,temple;moderne,Hall du Musée National de Corée,"Au premier plan, la pagode à dix niveaux."
D5600_001821,standard,2019-10-17T18:31:50+08:00,1/80 s,3200,5.3,70.0,6016,4016,"6,69 Mio",1920,1282,"348,71 kio",3000,2003,"1,67 Mio",3840,2563,"2,78 Mio",6016,4016,"29,22 Mio",nationalmuseum,histoire;objet;dragon;tresor,Pichet en céladon en forme de dragon,[Trésor National n°61](https://fr.wikipedia.org/wiki/Trésors_nationaux_de_Corée_du_Sud)
D5600_001822,vertical,2019-10-17T18:33:03+08:00,1/40 s,3200,4.5,34.0,3739,5600,"6,72 Mio",1282,1920,"641,89 kio",2003,3000,"2,28 Mio",2564,3840,"3,53 Mio",6016,4016,"29,74 Mio",nationalmuseum,histoire;objet;temple;selection;tresor,Cloche en bronze du temple Cheonheung sur le Seonggeosan,[Trésor National n°280](https://fr.wikipedia.org/wiki/Trésors_nationaux_de_Corée_du_Sud)
D5600_001832,standard,2019-10-17T18:53:13+08:00,1/160 s,400,4.0,28.0,5557,3710,"6,25 Mio",1920,1282,"582,48 kio",3000,2003,"2,14 Mio",3840,2564,"3,33 Mio",6016,4016,"23,95 Mio",nationalmuseum,ville;moderne,Esplanade du Musée National de Corée,
D5600_001844,standard,2019-10-18T12:05:02+08:00,1/320 s,400,7.1,98.0,6016,4016,"5,02 Mio",1920,1282,"410,49 kio",3000,2003,"1,47 Mio",3840,2563,"2,29 Mio",6016,4016,"25,62 Mio",deoksungung,histoire;musique;costume,Joueur de conque,Relève de la garde du Deoksungung
D5600_001848,ecran,2019-10-18T12:09:37+08:00,1/1000 s,400,7.1,35.0,6016,3384,"6,80 Mio",1920,1080,"650,78 kio",3000,1688,"2,06 Mio",3840,2160,"3,16 Mio",6016,4016,"25,50 Mio",deoksungung,histoire;musique;costume,Boum !,Relève de la garde du Deoksungung
D5600_001850,autre,2019-10-18T12:15:27+08:00,1/60 s,400,7.1,48.0,5662,3428,"4,64 Mio",1920,1162,"489,14 kio",3000,1816,"1,58 Mio",3840,2325,"2,42 Mio",6016,4016,"26,33 Mio",deoksungung,histoire;costume,"Toi, je t’ai à l’œil !",Relève de la garde du Deoksungung
D5600_001854,standard,2019-10-18T12:20:53+08:00,1/200 s,100,7.1,32.0,6016,4016,"6,80 Mio",1920,1282,"672,28 kio",3000,2003,"2,15 Mio",3840,2563,"3,24 Mio",6016,4016,"25,04 Mio",deoksungung,palais;architecture;toit,Une aile du Deoksungung,
D5600_001855,standard,2019-10-18T12:23:35+08:00,1/40 s,100,7.1,34.0,5726,3817,"7,81 Mio",1920,1280,"875,14 kio",3000,2000,"2,67 Mio",3840,2560,"4,04 Mio",6016,4016,"24,01 Mio",deoksungung,palais;trone,Trône,
D5600_001863,standard,2019-10-18T12:30:21+08:00,1/200 s,100,7.1,52.0,6016,4016,"8,26 Mio",1920,1282,"927,08 kio",3000,2003,"2,73 Mio",3840,2563,"4,02 Mio",6016,4016,"26,70 Mio",deoksungung,architecture;palais;ville;toit,"Derrière le palais, la ville",
D5600_001865,standard,2019-10-18T12:31:33+08:00,1/125 s,100,9.0,22.0,6016,4016,"7,78 Mio",1920,1282,"803,45 kio",3000,2003,"2,47 Mio",3840,2563,"3,70 Mio",6016,4016,"24,60 Mio",deoksungung,palais;architecture;etrange;ondol,Le bâtiment de style occidental,"La version d’origine a été construite vers 1900, suite à l’ouverture du pays et à l’arrivée des occidentaux."
D5600_001868,autre,2019-10-18T12:37:51+08:00,1/160 s,800,4.5,38.0,4701,3492,"5,32 Mio",1920,1426,"693,02 kio",3000,2228,"2,45 Mio",3840,2852,"3,79 Mio",6016,4016,"27,39 Mio",deoksungung,histoire;costume,"La Corée vue par les Français, début 20ème siècle",Cet extrait est de loin le *moins* raciste des deux livres français présentés…
D5600_001870,standard,2019-10-18T12:50:29+08:00,1/60 s,800,4.5,18.0,6016,4016,"7,08 Mio",1920,1282,"584,08 kio",3000,2003,"2,07 Mio",3840,2563,"3,23 Mio",6016,4016,"27,34 Mio",deoksungung,palais;architecture;etrange;confucius,Salle à manger royale,La salle à manger royale ressemble à une pièce de riche bourgeois occidental. La sobriété imposée par le néoconfucianisme de l’époque a provoqué beaucoup d’incompréhensions.
D5600_001875,standard,2019-10-18T12:59:47+08:00,1/800 s,100,4.5,38.0,5860,3912,"6,74 Mio",1920,1282,"798,80 kio",3000,2003,"2,36 Mio",3840,2563,"3,48 Mio",6016,4016,"25,96 Mio",deoksungung,palais;etrange,L’art moderne s’invite au palais,
D5600_001878,carre,2019-10-18T13:02:38+08:00,1/640 s,100,4.5,34.0,3280,3280,"2,88 Mio",1920,1920,"787,61 kio",3000,3000,"2,52 Mio",3840,3840,"3,50 Mio",6016,4016,"25,80 Mio",deoksungung,histoire;costume,Voici venir l’Angyo Onshi !,"Pas de panique, il montre juste qu’il a bien le pouvoir qu’il prétend avoir !"
D5600_001880,standard,2019-10-18T13:05:01+08:00,1/160 s,100,10.0,45.0,6016,4016,"6,98 Mio",1920,1282,"699,25 kio",3000,2003,"2,14 Mio",3840,2563,"3,24 Mio",6016,4016,"24,40 Mio",seoul,curiosite;quotidien,« Attention en marchant avec votre smartphone »,
D5600_001881,vertical,2019-10-18T13:06:38+08:00,1/200 s,100,10.0,45.0,3875,5813,"6,35 Mio",1280,1920,"731,84 kio",2000,3000,"2,21 Mio",2560,3840,"3,30 Mio",6016,4016,"26,41 Mio",seoul,ville;moderne,Immeuble-en-ciel,
D5600_001883,vertical,2019-10-18T13:57:08+08:00,1/60 s,100,10.0,85.0,3323,4984,"4,32 Mio",1280,1920,"635,46 kio",2000,3000,"1,94 Mio",2560,3840,"2,89 Mio",6016,4016,"25,92 Mio",seoul,moderne;etrange,Une très grande licorne…,
D5600_001886,standard,2019-10-18T14:06:22+08:00,1/250 s,100,10.0,35.0,6016,4016,"4,21 Mio",1920,1282,"382,40 kio",3000,2003,"1,33 Mio",3840,2563,"2,03 Mio",6016,4016,"23,54 Mio",gyeongbokgung,histoire;sculpture,Statue de Sejong le Grand,[Le roi qui a inventé l’alphabet coréen](https://fr.wikipedia.org/wiki/Sejong_le_Grand)
D5600_001887,standard,2019-10-18T14:08:48+08:00,1/125 s,100,10.0,18.0,5838,3898,"6,99 Mio",1920,1282,"661,65 kio",3000,2003,"2,29 Mio",3840,2564,"3,51 Mio",6016,4016,"26,77 Mio",gyeongbokgung,histoire,L’alphabet coréen,"[« Hangeul » de son petit nom](https://fr.wikipedia.org/wiki/Hangeul), ici en version d’origine (certaines lettres ne sont plus utilisées)"
D5600_001888,standard,2019-10-18T14:09:49+08:00,1/160 s,100,10.0,75.0,6016,4016,"6,71 Mio",1920,1282,"664,90 kio",3000,2003,"2,15 Mio",3840,2563,"3,25 Mio",6016,4016,"25,38 Mio",gyeongbokgung,palais;architecture;parc,Vue sur le Gyeongbokgung,On est en pleine ville : la perspective sur les montagnes a volontairement été conservée.
D5600_001892,standard,2019-10-18T14:15:19+08:00,1/320 s,100,13.0,32.0,6016,4016,"4,73 Mio",1920,1282,"470,92 kio",3000,2003,"1,54 Mio",3840,2563,"2,31 Mio",6016,4016,"23,66 Mio",gyeongbokgung,parc;moderne,Vue depuis le Gyeongbokgung,"Si on a une très jolie vue de la ville sur le palais, le palais lui n’a pas une très belle vue sur la ville…"
D5600_001893,standard,2019-10-18T14:16:27+08:00,1/200 s,100,11.0,105.0,4955,3308,"1,78 Mio",1920,1282,"223,76 kio",3000,2003,"844,91 kio",3840,2564,"1,22 Mio",6016,4016,"22,12 Mio",gyeongbokgung,curiosite;quotidien,« Demi-tour obligatoire »,
D5600_001896,carre,2019-10-18T14:22:01+08:00,1/160 s,100,11.0,34.0,4015,4015,"5,08 Mio",1920,1920,"991,13 kio",3000,3000,"3,18 Mio",3840,3840,"4,73 Mio",6016,4016,"26,17 Mio",gyeongbokgung,histoire;costume,Gardes du Gyeongbokgung,
D5600_001902,vertical,2019-10-18T14:25:08+08:00,1/100 s,100,11.0,48.0,4016,6016,"5,26 Mio",1282,1920,"578,69 kio",2003,3000,"1,76 Mio",2563,3840,"2,60 Mio",6016,4016,"25,00 Mio",gyeongbokgung,etrange,Fuck communist,"Au moins c’est clair. Ce qui l’est moins, c’est ce qu’il faisait *dans* le palais."
D5600_001903,standard,2019-10-18T14:27:36+08:00,1/160 s,100,11.0,38.0,6016,4016,"6,43 Mio",1920,1282,"711,14 kio",3000,2003,"2,17 Mio",3840,2563,"3,20 Mio",6016,4016,"26,07 Mio",gyeongbokgung,etrange;costume,Touristes en costumes,
D5600_001909,vertical,2019-10-18T14:50:21+08:00,1/50 s,800,11.0,45.0,3676,5507,"6,03 Mio",1282,1920,"710,74 kio",2003,3000,"2,22 Mio",2563,3840,"3,36 Mio",6016,4016,"27,36 Mio",gyeongbokgung,histoire;objet,Brûleur à encens,
D5600_001913,standard,2019-10-18T14:51:11+08:00,1/13 s,800,11.0,18.0,6016,4016,"12,26 Mio",1920,1282,"1,25 Mio",3000,2003,"3,93 Mio",3840,2563,"5,92 Mio",6016,4016,"28,63 Mio",gyeongbokgung,architecture;plafond;palais,Plus de couleurs !,
D5600_001915,vertical,2019-10-18T14:53:50+08:00,1/30 s,800,5.0,30.0,3583,5375,"9,17 Mio",1280,1920,"1,28 Mio",2000,3000,"3,72 Mio",2560,3840,"5,42 Mio",6016,4016,"31,27 Mio",gyeongbokgung,architecture;plafond;palais,Un plafond royal,Les dragons dans le plafond indiquent la présence d’un trône et donc du roi.
D5600_001934,autre,2019-10-18T15:26:40+08:00,1/40 s,800,9.0,34.0,3897,4689,"4,92 Mio",1596,1920,"616,08 kio",2493,3000,"2,24 Mio",3191,3840,"3,49 Mio",6016,4016,"27,83 Mio",gyeongbokgung,architecture;objet;palais;confucius,La chambre de la Reine,"Le néoconfuscianisme bannissait le grand luxe, y compris pour les personnes les plus importantes du pays."
D5600_001935,standard,2019-10-18T15:28:15+08:00,1/125 s,100,9.0,34.0,6016,4016,"11,96 Mio",1920,1282,"1,32 Mio",3000,2003,"3,99 Mio",3840,2563,"5,88 Mio",6016,4016,"29,60 Mio",gyeongbokgung,architecture;ondol,La cheminée derrière la maison,
D5600_001938,standard,2019-10-18T15:36:08+08:00,1/320 s,100,9.0,34.0,6016,4016,"6,64 Mio",1920,1282,"729,19 kio",3000,2003,"2,17 Mio",3840,2563,"3,21 Mio",6016,4016,"24,46 Mio",gyeongbokgung,architecture;palais;toit,Vue sur un ensemble du Gyeongbokgung,
D5600_001941,autre,2019-10-18T15:41:22+08:00,1/100 s,100,11.0,35.0,3411,5804,"4,71 Mio",1128,1920,"633,69 kio",1763,3000,"1,73 Mio",2257,3840,"2,47 Mio",6016,4016,"27,51 Mio",gyeongbokgung,histoire;sculpture;noiretblanc,Lapin du Zodiaque,
D5600_001943,standard,2019-10-18T15:44:09+08:00,1/160 s,100,11.0,18.0,5342,3562,"4,22 Mio",1920,1280,"547,48 kio",3000,2000,"1,71 Mio",3840,2560,"2,53 Mio",6016,4016,"24,43 Mio",gyeongbokgung,architecture;temple,Pagode du Gyeongbokgung aux escaliers,
D5600_001948,standard,2019-10-18T15:46:01+08:00,1/20 s,1600,6.3,26.0,5607,3738,"5,63 Mio",1920,1280,"493,99 kio",3000,2000,"1,84 Mio",3840,2560,"2,89 Mio",6016,4016,"28,37 Mio",gyeongbokgung,architecture;objet,Intérieur traditionnel de lettré,
D5600_001949,autre,2019-10-18T15:50:49+08:00,1/4000 s,1600,6.3,42.0,5032,3774,"4,14 Mio",1920,1440,"482,68 kio",3000,2250,"1,74 Mio",3840,2880,"2,67 Mio",6016,4016,"27,61 Mio",gyeongbokgung,architecture;temple;toit,Pagode du Gyeongbokgung aux deux oiseaux,
D5600_001957,standard,2019-10-18T16:21:37+08:00,1/50 s,3200,3.5,18.0,6016,4016,"11,67 Mio",1920,1282,"1,15 Mio",3000,2003,"3,77 Mio",3840,2563,"5,64 Mio",6016,4016,"32,53 Mio",gyeongbokgung,architecture;plafond;palais,Avant restauration,
D5600_001963,standard,2019-10-18T16:32:23+08:00,1/1250 s,200,4.0,26.0,5880,3926,"8,50 Mio",1920,1282,"816,95 kio",3000,2003,"2,74 Mio",3840,2564,"4,20 Mio",6016,4016,"26,80 Mio",gyeongbokgung,architecture;parc,La Porte et la Montagne,
D5600_001969,standard,2019-10-18T18:12:18+08:00,1/160 s,200,11.0,48.0,5884,3922,"3,95 Mio",1920,1280,"453,06 kio",3000,2000,"1,38 Mio",3840,2560,"2,03 Mio",6016,4016,"23,83 Mio",seoul,ville;quotidien,Le soleil entre les immeubles,
D5600_001973,vertical,2019-10-18T20:40:16+08:00,1/125 s,3200,8.0,26.0,3925,5888,"5,76 Mio",1280,1920,"647,88 kio",2000,3000,"1,95 Mio",2560,3840,"2,90 Mio",6016,4016,"29,56 Mio",seoul,ville;quotidien;nuit,Rue commerçante,
D5600_001977,standard,2019-10-18T23:09:37+08:00,1/8 s,1600,4.5,35.0,6016,4016,"8,68 Mio",1920,1282,"611,35 kio",3000,2003,"2,19 Mio",3840,2563,"3,56 Mio",6016,4016,"27,10 Mio",seoul,ville;quotidien;moderne;nuit;noiretblanc;riviere,Cheonggyecheon de nuit,Le [Cheonggyecheon](https://fr.wikipedia.org/wiki/Cheonggyecheon) est un cours d’eau de Séoul aménagé en promenade.
D5600_001983,vertical,2019-10-18T23:19:56+08:00,1/20 s,1600,3.5,18.0,4016,6016,"10,05 Mio",1282,1920,"666,49 kio",2003,3000,"2,77 Mio",2563,3840,"4,45 Mio",6016,4016,"27,46 Mio",seoul,quotidien;etrange,Fantôme d’Halloween,
D5600_001984,carre,2019-10-18T23:21:40+08:00,1/100 s,1600,4.2,34.0,4010,4010,"4,47 Mio",1920,1920,"773,43 kio",3000,3000,"2,70 Mio",3840,3840,"4,11 Mio",6016,4016,"26,25 Mio",seoul,quotidien;etrange,Citrouille-vampire d’Halloween,
D5600_001988,ecran,2019-10-19T12:13:08+08:00,1/25 s,1600,6.3,34.0,5698,3205,"6,94 Mio",1920,1080,"567,51 kio",3000,1687,"2,21 Mio",3840,2160,"3,48 Mio",6016,4016,"29,59 Mio",jongmyo,confucius;objet;histoire,Tablettes contenant l’âme d’un roi,
D5600_001991,vertical,2019-10-19T12:37:28+08:00,1/80 s,800,6.3,21.0,3945,5918,"8,06 Mio",1280,1920,"767,28 kio",2000,3000,"2,58 Mio",2560,3840,"3,95 Mio",6016,4016,"28,72 Mio",jongmyo,confucius;objet;histoire,Siège royal pour les rituels,
D5600_001992,vertical,2019-10-19T12:37:46+08:00,1/60 s,800,6.3,28.0,4016,6016,"8,06 Mio",1282,1920,"788,40 kio",2003,3000,"2,52 Mio",2563,3840,"3,83 Mio",6016,4016,"28,23 Mio",jongmyo,confucius;costume;histoire,Costume royal pour les rituels,
D5600_001997,standard,2019-10-19T12:42:17+08:00,1/160 s,100,13.0,18.0,6016,4016,"6,35 Mio",1920,1282,"662,28 kio",3000,2003,"2,08 Mio",3840,2563,"3,10 Mio",6016,4016,"25,28 Mio",jongmyo,confucius;architecture,« Hall de confort éternel »,Dix-neuf cellules qui conservent les tablettes dans lesquelles se trouvent les âmes des rois de Corée.
D5600_001999,panoramique,2019-10-19T12:45:18+08:00,1/30 s,100,20.0,18.0,5699,2850,"4,35 Mio",1920,960,"499,86 kio",3000,1500,"1,54 Mio",3840,1920,"2,29 Mio",6016,4016,"23,99 Mio",jongmyo,confucius;architecture,L’esplanade et les halls,
D5600_002000,standard,2019-10-19T12:46:04+08:00,1/125 s,100,11.0,35.0,6016,4016,"5,40 Mio",1920,1282,"551,33 kio",3000,2003,"1,77 Mio",3840,2563,"2,63 Mio",6016,4016,"24,37 Mio",jongmyo,confucius;architecture;moderne;ville,"Derrière le sanctuaire, la ville",
D5600_002006,standard,2019-10-19T13:12:57+08:00,1/125 s,200,11.0,21.0,6016,4016,"7,02 Mio",1920,1282,"727,42 kio",3000,2003,"2,26 Mio",3840,2563,"3,38 Mio",6016,4016,"25,22 Mio",seoul,ville;etrange;quotidien,"Soudain, un temple",« Quoi ? Conserver l’environnement du temple ? Pourquoi ? »
D5600_002009,standard,2019-10-19T14:25:17+08:00,1/100 s,100,11.0,38.0,6016,4016,"9,66 Mio",1920,1282,"1,03 Mio",3000,2003,"3,16 Mio",3840,2563,"4,69 Mio",6016,4016,"28,90 Mio",changdeokgung,architecture;palais,Fossé du Changdeokgung,
D5600_002015,carre,2019-10-19T14:33:45+08:00,1/200 s,100,11.0,92.0,3493,3493,"3,47 Mio",1920,1920,"904,63 kio",3000,3000,"2,74 Mio",3840,3840,"3,85 Mio",6016,4016,"26,33 Mio",changdeokgung,costume,Couple en costume,"Les hommes aussi ont leurs costumes, mais ils en louent moins que les femmes."
D5600_002019,vertical,2019-10-19T14:36:44+08:00,1/30 s,800,7.1,18.0,3796,5687,"8,41 Mio",1282,1920,"945,93 kio",2002,3000,"2,97 Mio",2563,3840,"4,48 Mio",6016,4016,"29,60 Mio",changdeokgung,palais;trone;plafond,Salle du trône,
D5600_002020,standard,2019-10-19T14:37:05+08:00,1/160 s,100,11.0,42.0,6016,4016,"6,77 Mio",1920,1282,"761,38 kio",3000,2003,"2,25 Mio",3840,2563,"3,33 Mio",6016,4016,"24,97 Mio",changdeokgung,architecture;palais;toit,Toits et murs,"Les petites sculptures au coin du toit sont typiquement coréennes. Plus il y en a, plus le bâtiment est important. On en trouve jusqu’à onze."
D5600_002025,vertical,2019-10-19T14:44:06+08:00,1/100 s,100,11.0,30.0,4016,6016,"6,03 Mio",1282,1920,"648,05 kio",2003,3000,"1,97 Mio",2563,3840,"2,93 Mio",6016,4016,"24,92 Mio",changdeokgung,architecture;palais;ondol;toit,Toits et cheminée,
D5600_002026,standard,2019-10-19T14:45:07+08:00,1/50 s,100,11.0,18.0,6016,4016,"5,73 Mio",1920,1282,"633,44 kio",3000,2003,"1,92 Mio",3840,2563,"2,83 Mio",6016,4016,"24,88 Mio",changdeokgung,architecture;palais;toit,À l’arrière de la salle du trône,
D5600_002027,standard,2019-10-19T14:47:19+08:00,1/160 s,800,6.3,18.0,6016,4016,"6,83 Mio",1920,1282,"461,56 kio",3000,2003,"1,85 Mio",3840,2563,"2,99 Mio",6016,4016,"26,02 Mio",changdeokgung,architecture;palais,Bureaux des employés,Notez l’élégance des lampes…
D5600_002028,standard,2019-10-19T14:47:54+08:00,1/160 s,100,11.0,18.0,6016,4016,"6,58 Mio",1920,1282,"682,27 kio",3000,2003,"2,13 Mio",3840,2563,"3,19 Mio",6016,4016,"25,23 Mio",changdeokgung,architecture;palais;toit,Palais de la Reine,
D5600_002031,vertical,2019-10-19T14:49:44+08:00,1/40 s,800,11.0,45.0,3911,5859,"7,17 Mio",1282,1920,"707,80 kio",2003,3000,"2,30 Mio",2563,3840,"3,53 Mio",6016,4016,"27,83 Mio",changdeokgung,histoire;objet;palais,Ensemble nacré,"Parce qu’à un moment, il faut bien impressionner l’étranger."
D5600_002032,standard,2019-10-19T14:51:55+08:00,1/60 s,200,11.0,24.0,6016,4016,"7,25 Mio",1920,1282,"836,49 kio",3000,2003,"2,45 Mio",3840,2563,"3,61 Mio",6016,4016,"26,35 Mio",changdeokgung,architecture;toit;parc;palais,Toits et forêt,Nous sommes toujours en plein Séoul !
D5600_002033,vertical,2019-10-19T14:53:05+08:00,1/500 s,200,11.0,26.0,3808,5705,"11,76 Mio",1282,1920,"1,23 Mio",2002,3000,"4,06 Mio",2563,3840,"6,18 Mio",6016,4016,"29,09 Mio",changdeokgung,palais;ondol,Cheminée dans les terrasses,
D5600_002035,standard,2019-10-19T14:54:14+08:00,1/60 s,200,11.0,25.0,6016,4016,"9,80 Mio",1920,1282,"1,04 Mio",3000,2003,"3,20 Mio",3840,2563,"4,74 Mio",6016,4016,"29,61 Mio",changdeokgung,architecture;toit;palais;ondol,La cheminée au bout de l’aile,
D5600_002036,autre,2019-10-19T14:55:19+08:00,1/25 s,200,11.0,18.0,5426,3882,"3,92 Mio",1920,1374,"383,14 kio",3000,2146,"1,42 Mio",3840,2747,"2,20 Mio",6016,4016,"24,19 Mio",changdeokgung,palais,Au-delà de la balustrade…,
D5600_002040,standard,2019-10-19T15:04:32+08:00,1/50 s,800,3.5,18.0,5726,3817,"7,78 Mio",1920,1280,"844,67 kio",3000,2000,"2,69 Mio",3840,2560,"4,07 Mio",6016,4016,"28,85 Mio",changdeokgung,palais;trone;etrange,La grande salle du trône,Avec une curieuse influence occidentale dans les luminaires…
D5600_002052,standard,2019-10-19T15:13:57+08:00,1/250 s,100,11.0,18.0,5793,3862,"5,44 Mio",1920,1280,"538,57 kio",3000,2000,"1,82 Mio",3840,2560,"2,77 Mio",6016,4016,"23,86 Mio",changdeokgung,palais;architecture;ville;moderne,"Séoul, par-delà les murs",
D5600_002054,standard,2019-10-19T15:16:05+08:00,1/200 s,100,11.0,45.0,5565,3710,"6,73 Mio",1920,1280,"801,36 kio",3000,2000,"2,46 Mio",3840,2560,"3,68 Mio",6016,4016,"25,19 Mio",changdeokgung,architecture;palais;toit,Le bâtiment qui guette par-dessus le mur,
D5600_002055,ecran,2019-10-19T16:08:32+08:00,1/50 s,100,11.0,70.0,5864,3298,"5,56 Mio",1920,1080,"667,31 kio",3000,1687,"1,96 Mio",3840,2160,"2,87 Mio",6016,4016,"26,22 Mio",seoul,quotidien,Manifestation pro-américaine,Une grosse manifestation pour demander de l’aide aux USA contre la Corée du Nord
D5600_002072,vertical,2019-10-20T11:35:35+08:00,1/80 s,200,4.0,18.0,3555,5333,"4,73 Mio",1280,1920,"591,53 kio",2000,3000,"1,87 Mio",2560,3840,"2,80 Mio",6016,4016,"26,22 Mio",chuncheon,temple;etrange;plafond,Un logo incongru sur cette cloche bouddhiste,
D5600_002075,standard,2019-10-20T11:45:23+08:00,1/100 s,100,11.0,34.0,5992,3995,"5,92 Mio",1920,1280,"615,45 kio",3000,2000,"1,94 Mio",3840,2560,"2,90 Mio",6016,4016,"24,79 Mio",chuncheon,ville;quotidien,Panorama sur Chuncheon,
